lkd-id,lkd status,lastModified,julkaisuversio,replacedBy,source,fi-label-source,lkd rdfs:label-fi,notation,sv-label-source,lkd rdfs:label-sv,bf-label-true,en-label-source,lkd rdfs:label-en,lkd rdfs:domain,lkd rdfs:range,bffi-meta:relatedValueVocabulary,lkd-kommentti,lkd scopeNote,bffi: rdf:type,bffi: rdfs:subClassOf,bffi: rdfs:subPropertyOf,bffi: owl:inverseOf,bffi: owl:disjointWith,LKD-BF-erot-note,LKD-BF mapping,LKD-BF-owl-mapping,bibframeURI,bf: ID,graph,t,bf property group,bf:Definition,bf: owl:,bf: domain,bf: range,bf: rdfs:subClassOf,bf: rdfs:subPropertyOf,bf: owl:inverseOf,mapping LKD to RDA,LKD-RDA-mapping,rdaURI,CURIE or NS,rdfs:domain,RDA label,rdaLabel@fi,rdaLabel@en,RDA skos:note,lkd-kbv-owl-mapping,kbvURI,kbv:Matches,kbv:definition,Marc21,marc21rdf,loc-vocabulary,marc21:kk,Huomautuksia,marc2rda,bffi-definition-fi,bffi-definition-en,KOPIO-20240318-(Z)-LKD-BF-owl-mapping
bffi:aap,published,2024-01-31,v0.2,,bflc:,rdaterm:1012|muldicat:4680,auktorisoitu hakutieto,OK,kb:auktoritetsarbete-och-agenter,auktoriserad sökingång,TRUE,bflc:,authorized access point,"[bffi:Work, bffi:Expression,bffi:Manifestation, bffi:Item]",rdfs:Literal,,,,owl:DatatypeProperty,,,,,,bffi-meta:exactMatch,owl:equivalentProperty,http://id.loc.gov/ontologies/bflc/aap,bflc:aap,bflc:,p,,"A text string that represents the label of the resource. It could be a name/title combination, but could also include additional fields to make it unique within the catalog.",owl:DatatypeProperty,"bf:Work, bf:Instance, bf:Item",,,,,,bffi-meta:narrowMatch,http://rdaregistry.info/Elements/w/P10331|http://rdaregistry.info/Elements/e/P20313|http://rdaregistry.info/Elements/m/P30294|http://rdaregistry.info/Elements/i/P40083 ,rdaw:P10331|rdae:P20313|rdam:P30294|rdai:P40083,rdac:C10001|rdac:C10006|rdac:C10007|rdac:C10003,Teos|Ekspressio|Manifestaatio|Kappale,teoksen auktorisoitu hakutieto|ekspression auktorisoitu hakutieto|manifestaation auktorisoitu hakutieto|kappaleen auktorisoitu hakutieto,authorized access point for manifestation for work|authorized access point for expression|authorized access point for manifestation|authorized access point for item,,,,,,,,,,2021-11-02 (New [GH2]),,,,owl:equivalentProperty
bffi:aap-normalized,draft,#N/A,#N/A,,bflc:,bffi:,normalisoitu auktorisoitu hakutieto,#N/A,,#N/A,TRUE,bflc:,Normalized authorized access point,"[bffi:Work, bffi:Expression,bffi:Manifestation, bffi:Item]",rdfs:Literal,,,,owl:DatatypeProperty,,bflc:aap-normalized,,,,,owl:equivalentProperty,http://id.loc.gov/ontologies/bflc/aap-normalized,bflc:aap-normalized,bflc:,p,,"Normalized version of the authorized access point with spaces, capitalization, and punctuation removed.",owl:DatatypeProperty,,rdfs:Literal,,,,,bffi-meta:narrowMatch,http://rdaregistry.info/Elements/w/P10331|http://rdaregistry.info/Elements/e/P20313|http://rdaregistry.info/Elements/m/P30294|http://rdaregistry.info/Elements/i/P40083 ,rdaw:P10331|rdae:P20313|rdam:P30294|rdai:P40083,rdac:C10001|rdac:C10006|rdac:C10007|rdac:C10003,Teos|Ekspressio|Manifestaatio|Kappale,teoksen auktorisoitu hakutieto|ekspression auktorisoitu hakutieto|manifestaation auktorisoitu hakutieto|kappaleen auktorisoitu hakutieto,authorized access point for manifestation for work|authorized access point for expression|authorized access point for manifestation|authorized access point for item,,,,,,,,,,2021-11-02 (New [GH2]),,,,owl:equivalentProperty
bffi:aapOfFamily,deleted,2024-01-29,#N/A,,rda:,,suvun auktorisoitu hakutieto,#N/A,bffi:kb:,auktoriserad sökingång för släkt,FALSE,"rdaa:P50409",authorized access point for family,bffi:Family,rdfs:Literal,,,,owl:DatatypeProperty,,bffi:aap,,,,bffi-meta:broadMatch,#N/A,#N/A,#N/A,bflc:,p,,,#N/A,,,,,,skos:exactMatch,bffi-meta:exactMatch,http://rdaregistry.info/Elements/a/P50409,rdaa:P50409,"rdac:C10002",Toimija,suvun auktorisoitu hakutieto,,RDA:n auktorisoidut hakutiedot eivät mappaudu mihinkään BF-ominaisuuteen,,,,,,,,,,,,,#N/A
bffi:aapOfItem,deleted,2024-01-29,v0.1.0,,rda:,,kappaleen auktorisoitu hakutieto,OK,bffi:,auktoriserad sökingång för exemplar,FALSE,rdai:P40083,authorized access point for item,bffi:Item,rdfs:Literal,,,,owl:DatatypeProperty,,bffi:aap,,,,bffi-meta:broadMatch,#N/A,#N/A,#N/A,bflc:,p,,,#N/A,,,,,,skos:exactMatch,bffi-meta:exactMatch,http://rdaregistry.info/Elements/i/P40083,rdai:P40083,rdac:C10003,Kappale,kappaleen auktorisoitu hakutieto,authorized access point for item,RDA:n auktorisoidut hakutiedot eivät mappaudu mihinkään BF-ominaisuuteen - kts bflc:aac,?,?,,,,,,,,,,,#N/A
bffi:aapOfExpression,deleted,2024-01-29,v0.1.0,,rda:,,ekspression auktorisoitu hakutieto,OK,kb:beskrivning/generella-anvisningar---rda/konstruktion-av-sokingangar-for-verk-och-uttryck#Begreppetauktoriseradsokingang,auktoriserad sökingång för uttryck,FALSE,rdae:P20313,authorized access point for expression,bffi:Expression,rdfs:Literal,,,,owl:DatatypeProperty,,bffi:aap,,,,bffi-meta:broadMatch,#N/A,#N/A,#N/A,bflc:,p,,,#N/A,,,,,,skos:exactMatch,bffi-meta:exactMatch,http://rdaregistry.info/Elements/e/P20313,rdae:P20313,rdac:C10006,Ekspressio,ekspression auktorisoitu hakutieto,authorized access point for expression,RDA:n auktorisoidut hakutiedot eivät mappaudu mihinkään BF-ominaisuuteen -- kts bflc:aap,?,?,,,,,,,,,,,#N/A
bffi:aapOfManifestation,deleted,2024-01-29,v0.1.0,,rda:,,manifestaation auktorisoitu hakutieto,OK,bffi:,auktoriserad sökingång för manifestation,FALSE,"rdam:P30294",authorized access point for manifestation,bffi:Manifestation,rdfs:Literal,,,,owl:DatatypeProperty,,bffi:aap,,,,bffi-meta:broadMatch,#N/A,#N/A,#N/A,bflc:,p,,,#N/A,,,,,,skos:exactMatch,bffi-meta:exactMatch,http://rdaregistry.info/Elements/m/P30294,rdam:P30294,rdac:C10007,Manifestaatio,manifestaation auktorisoitu hakutieto,has authorized access point for expression,,?,?,,,,,,,,,,,#N/A
bffi:aapOfWork,deleted,2024-01-29,v0.1.0,,rda:,,teoksen auktorisoitu hakutieto,OK,kb:beskrivning/generella-anvisningar---rda/konstruktion-av-sokingangar-for-verk-och-uttryck#Begreppetauktoriseradsokingang,auktoriserad sökingång för verk,FALSE,rdaw:P10331,authorized access point for work,bffi:Work,rdfs:Literal,,,,owl:DatatypeProperty,,bffi:aap,,,,bffi-meta:broadMatch,#N/A,#N/A,#N/A,bflc:,p,,,#N/A,,,,,,skos:exactMatch,bffi-meta:exactMatch,http://rdaregistry.info/Elements/w/P10331,rdaw:P10331,rdac:C10001,Teos,teoksen auktorisoitu hakutieto,authorized access point for work,,?,?,,,,,,,,,,,#N/A
bffi:aapOfOrganization,deleted,2024-01-29,#N/A,,rda:,,yhteisön auktorisoitu hakutieto,#N/A,bffi:kb:,auktoriserad sökingång för organisation,FALSE,"rdaa:P50407",authorized access point for corporate body,bffi:Organization,rdfs:Literal,,,,owl:DatatypeProperty,,bffi:aap,,,,bffi-meta:broadMatch,#N/A,#N/A,#N/A,bflc:,p,,,#N/A,,,,,,skos:exactMatch,bffi-meta:exactMatch,http://rdaregistry.info/Elements/a/P50407,rdaa:P50407,"rdac:C10002",Toimija,yhteisön auktorisoitu hakutieto,,RDA:n auktorisoidut hakutiedot eivät mappaudu mihinkään BF-ominaisuuteen,,,,,,,,,,,,,#N/A
bffi:aapOfPerson,deleted,2024-01-29,#N/A,,rda:,,henkilön auktorisoitu hakutieto,#N/A,bffi:kb:,auktoriserad sökingång för person,FALSE,"rdaa:P50403",authorized access point for person,bffi:Person,rdfs:Literal,,,,owl:DatatypeProperty,,bffi:aap,,,,bffi-meta:broadMatch,#N/A,#N/A,#N/A,bflc:,p,,,#N/A,,,,,,skos:exactMatch,bffi-meta:exactMatch,http://rdaregistry.info/Elements/a/P50411,rdaa:P50411,"rdac:C10002",Toimija,henkilön auktorisoitu hakutieto,,RDA:n auktorisoidut hakutiedot eivät mappaudu mihinkään BF-ominaisuuteen,,,,,,,,,,,,,#N/A
bffi:aapOfPlace,deleted,2024-01-29,#N/A,,rda:,rdap:P70045,paikan auktorisoitu hakutieto,#N/A,,#N/A,FALSE,rdap:P70045,authorized access point for place,bffi:Place,rdfs:Literal,,,,owl:DatatypeProperty,,bffi:aap,,,,,#N/A,#N/A,#N/A,bflc:,p,,,#N/A,,,,,,,bffi-meta:exactMatch,http://rdaregistry.info/Elements/p/P70045,rdap:P70045,rdac:C10009,Paikka,paikan auktorisoitu hakutieto,authorized access point for place,"Liittää paikan nomeniin, joka on paikan hakutieto, joka on valittu ensisijaiseksi tietyssä sanaston merkintäjärjestelmässä",,,,,,,,,,,,,#N/A
